job_title,industry,job_description,skills_required,experience_required
Digital Marketing Analyst,Marketing,"Digital Marketing Analyst role in Marketing requiring skills: Excel, PPC, Content Marketing, Google Analytics, SEO, Marketing Strategy with 6+ years experience.","Excel, PPC, Content Marketing, Google Analytics, SEO, Marketing Strategy",6
Data Scientist,Data,"Data Scientist role in Data requiring skills: Python, PowerBI, NLP, Statistics, Big Data with 6+ years experience.","Python, PowerBI, NLP, Statistics, Big Data",6
Frontend Developer,Technology,"Frontend Developer role in Technology requiring skills: Node.js, Docker, Git, Python, Kubernetes with 8+ years experience.","Node.js, Docker, Git, Python, Kubernetes",8
AI Researcher,Data,"AI Researcher role in Data requiring skills: PyTorch, R, Big Data, SQL, TensorFlow, Statistics, Machine Learning with 9+ years experience.","PyTorch, R, Big Data, SQL, TensorFlow, Statistics, Machine Learning",9
Business Analyst,Data,"Business Analyst role in Data requiring skills: Tableau, PyTorch, Deep Learning, Pandas with 3+ years experience.","Tableau, PyTorch, Deep Learning, Pandas",3
Electrical Engineer,Engineering,"Electrical Engineer role in Engineering requiring skills: PLC Programming, MATLAB, Project Management, Python, Robotics, AutoCAD, C++ with 10+ years experience.","PLC Programming, MATLAB, Project Management, Python, Robotics, AutoCAD, C++",10
Nurse,Healthcare,"Nurse role in Healthcare requiring skills: Patient Care, Python, Clinical Data Analysis with 6+ years experience.","Patient Care, Python, Clinical Data Analysis",6
Backend Developer,Technology,"Backend Developer role in Technology requiring skills: Docker, Python, C++, CI/CD, Kubernetes, Git, SQL with 6+ years experience.","Docker, Python, C++, CI/CD, Kubernetes, Git, SQL",6
Logistics Coordinator,Operations,"Logistics Coordinator role in Operations requiring skills: Logistics, Excel, Process Improvement, Project Management with 5+ years experience.","Logistics, Excel, Process Improvement, Project Management",5
Project Manager,Operations,"Project Manager role in Operations requiring skills: Project Management, Logistics, Lean Six Sigma, Agile, Process Improvement, Supply Chain, Excel with 5+ years experience.","Project Management, Logistics, Lean Six Sigma, Agile, Process Improvement, Supply Chain, Excel",5
Business Development Manager,Sales,"Business Development Manager role in Sales requiring skills: Lead Generation, Negotiation, Presentation Skills with 4+ years experience.","Lead Generation, Negotiation, Presentation Skills",4
DevOps Engineer,Technology,"DevOps Engineer role in Technology requiring skills: Kubernetes, Microservices, Cloud, Docker, C++, CI/CD, SQL with 2+ years experience.","Kubernetes, Microservices, Cloud, Docker, C++, CI/CD, SQL",2
Supply Chain Analyst,Operations,"Supply Chain Analyst role in Operations requiring skills: Excel, Logistics, Agile, Supply Chain, Lean Six Sigma with 5+ years experience.","Excel, Logistics, Agile, Supply Chain, Lean Six Sigma",5
Data Engineer,Data,"Data Engineer role in Data requiring skills: PowerBI, Spark, NLP, PyTorch, Deep Learning, Big Data with 10+ years experience.","PowerBI, Spark, NLP, PyTorch, Deep Learning, Big Data",10
Automation Engineer,Engineering,"Automation Engineer role in Engineering requiring skills: Robotics, MATLAB, CAD, C++, PLC Programming with 10+ years experience.","Robotics, MATLAB, CAD, C++, PLC Programming",10
Supply Chain Analyst,Operations,"Supply Chain Analyst role in Operations requiring skills: Logistics, Excel, Project Management, Process Improvement, Lean Six Sigma with 2+ years experience.","Logistics, Excel, Project Management, Process Improvement, Lean Six Sigma",2
Supply Chain Analyst,Operations,"Supply Chain Analyst role in Operations requiring skills: Agile, Lean Six Sigma, Logistics with 2+ years experience.","Agile, Lean Six Sigma, Logistics",2
Automation Engineer,Engineering,"Automation Engineer role in Engineering requiring skills: MATLAB, CAD, SolidWorks, AutoCAD with 8+ years experience.","MATLAB, CAD, SolidWorks, AutoCAD",8
Financial Analyst,Finance,"Financial Analyst role in Finance requiring skills: Investment Modeling, Risk Management, Forecasting, Budgeting, Taxation, Financial Analysis, Excel with 8+ years experience.","Investment Modeling, Risk Management, Forecasting, Budgeting, Taxation, Financial Analysis, Excel",8
Data Analyst,Data,"Data Analyst role in Data requiring skills: Python, Tableau, NLP, Big Data with 2+ years experience.","Python, Tableau, NLP, Big Data",2
Professor,Education,"Professor role in Education requiring skills: Python, Communication, Teaching, Curriculum Design with 2+ years experience.","Python, Communication, Teaching, Curriculum Design",2
Account Executive,Sales,"Account Executive role in Sales requiring skills: Negotiation, Business Development, Presentation Skills, Excel, Lead Generation, CRM, Sales Strategy with 7+ years experience.","Negotiation, Business Development, Presentation Skills, Excel, Lead Generation, CRM, Sales Strategy",7
Account Executive,Sales,"Account Executive role in Sales requiring skills: Sales Strategy, Presentation Skills, Business Development, Negotiation, CRM with 10+ years experience.","Sales Strategy, Presentation Skills, Business Development, Negotiation, CRM",10
Business Analyst,Data,"Business Analyst role in Data requiring skills: Python, R, Deep Learning, Tableau, SQL with 5+ years experience.","Python, R, Deep Learning, Tableau, SQL",5
Software Engineer,Technology,"Software Engineer role in Technology requiring skills: Microservices, Docker, Cloud, React, CI/CD, Agile with 8+ years experience.","Microservices, Docker, Cloud, React, CI/CD, Agile",8
AI Researcher,Data,"AI Researcher role in Data requiring skills: PyTorch, R, NLP with 7+ years experience.","PyTorch, R, NLP",7
Sales Analyst,Sales,"Sales Analyst role in Sales requiring skills: Negotiation, Lead Generation, CRM, Business Development, Excel, Presentation Skills, Sales Strategy with 6+ years experience.","Negotiation, Lead Generation, CRM, Business Development, Excel, Presentation Skills, Sales Strategy",6
Professor,Education,"Professor role in Education requiring skills: Communication, Educational Technology, Research, Curriculum Design, Python, Teaching with 4+ years experience.","Communication, Educational Technology, Research, Curriculum Design, Python, Teaching",4
Sales Manager,Sales,"Sales Manager role in Sales requiring skills: Business Development, Presentation Skills, Negotiation, Sales Strategy with 10+ years experience.","Business Development, Presentation Skills, Negotiation, Sales Strategy",10
SEO Specialist,Marketing,"SEO Specialist role in Marketing requiring skills: Marketing Strategy, PPC, Content Marketing, Excel with 2+ years experience.","Marketing Strategy, PPC, Content Marketing, Excel",2
Medical Data Analyst,Healthcare,"Medical Data Analyst role in Healthcare requiring skills: Research, Biostatistics, Medical Terminology, Python, Clinical Data Analysis, Patient Care with 5+ years experience.","Research, Biostatistics, Medical Terminology, Python, Clinical Data Analysis, Patient Care",5
ML Engineer,Data,"ML Engineer role in Data requiring skills: TensorFlow, NLP, PowerBI with 6+ years experience.","TensorFlow, NLP, PowerBI",6
Risk Analyst,Finance,"Risk Analyst role in Finance requiring skills: Budgeting, Investment Modeling, Taxation, Excel, SQL, Risk Management, Accounting with 8+ years experience.","Budgeting, Investment Modeling, Taxation, Excel, SQL, Risk Management, Accounting",8
Nurse,Healthcare,"Nurse role in Healthcare requiring skills: Research, Medical Terminology, Healthcare Analytics with 10+ years experience.","Research, Medical Terminology, Healthcare Analytics",10
Operations Manager,Operations,"Operations Manager role in Operations requiring skills: Lean Six Sigma, Excel, Logistics, Project Management with 3+ years experience.","Lean Six Sigma, Excel, Logistics, Project Management",3
SEO Specialist,Marketing,"SEO Specialist role in Marketing requiring skills: Excel, Marketing Strategy, Content Marketing, Social Media, Google Analytics, Email Marketing with 5+ years experience.","Excel, Marketing Strategy, Content Marketing, Social Media, Google Analytics, Email Marketing",5
SEO Specialist,Marketing,"SEO Specialist role in Marketing requiring skills: Google Analytics, PPC, SEO, Marketing Strategy, Social Media with 3+ years experience.","Google Analytics, PPC, SEO, Marketing Strategy, Social Media",3
Supply Chain Analyst,Operations,"Supply Chain Analyst role in Operations requiring skills: Agile, Project Management, Logistics with 4+ years experience.","Agile, Project Management, Logistics",4
Sales Manager,Sales,"Sales Manager role in Sales requiring skills: Lead Generation, Negotiation, Business Development, Presentation Skills with 3+ years experience.","Lead Generation, Negotiation, Business Development, Presentation Skills",3
Logistics Coordinator,Operations,"Logistics Coordinator role in Operations requiring skills: Process Improvement, Excel, Project Management, Supply Chain, Lean Six Sigma with 10+ years experience.","Process Improvement, Excel, Project Management, Supply Chain, Lean Six Sigma",10
Auditor,Finance,"Auditor role in Finance requiring skills: Taxation, Forecasting, Budgeting, Excel, Financial Analysis with 7+ years experience.","Taxation, Forecasting, Budgeting, Excel, Financial Analysis",7
ML Engineer,Data,"ML Engineer role in Data requiring skills: Machine Learning, Deep Learning, Excel, Pandas, Tableau with 7+ years experience.","Machine Learning, Deep Learning, Excel, Pandas, Tableau",7
Risk Analyst,Finance,"Risk Analyst role in Finance requiring skills: Excel, Budgeting, Investment Modeling, SQL with 9+ years experience.","Excel, Budgeting, Investment Modeling, SQL",9
Risk Analyst,Finance,"Risk Analyst role in Finance requiring skills: Investment Modeling, Excel, Financial Analysis with 6+ years experience.","Investment Modeling, Excel, Financial Analysis",6
Teacher,Education,"Teacher role in Education requiring skills: Research, Curriculum Design, Teaching, Python with 4+ years experience.","Research, Curriculum Design, Teaching, Python",4
Marketing Manager,Marketing,"Marketing Manager role in Marketing requiring skills: SEO, Excel, Brand Management, PPC, Google Analytics with 2+ years experience.","SEO, Excel, Brand Management, PPC, Google Analytics",2
Backend Developer,Technology,"Backend Developer role in Technology requiring skills: Node.js, Java, React, C++, Linux with 8+ years experience.","Node.js, Java, React, C++, Linux",8
Electrical Engineer,Engineering,"Electrical Engineer role in Engineering requiring skills: PLC Programming, AutoCAD, C++ with 3+ years experience.","PLC Programming, AutoCAD, C++",3
Education Consultant,Education,"Education Consultant role in Education requiring skills: Communication, Curriculum Design, Research, Python with 5+ years experience.","Communication, Curriculum Design, Research, Python",5
Business Development Manager,Sales,"Business Development Manager role in Sales requiring skills: Business Development, Sales Strategy, CRM, Excel with 9+ years experience.","Business Development, Sales Strategy, CRM, Excel",9
Account Executive,Sales,"Account Executive role in Sales requiring skills: Business Development, Negotiation, Sales Strategy, CRM, Lead Generation, Presentation Skills with 7+ years experience.","Business Development, Negotiation, Sales Strategy, CRM, Lead Generation, Presentation Skills",7
Sales Analyst,Sales,"Sales Analyst role in Sales requiring skills: Excel, Sales Strategy, Presentation Skills with 3+ years experience.","Excel, Sales Strategy, Presentation Skills",3
Account Executive,Sales,"Account Executive role in Sales requiring skills: Lead Generation, Excel, Sales Strategy, Negotiation with 4+ years experience.","Lead Generation, Excel, Sales Strategy, Negotiation",4
Frontend Developer,Technology,"Frontend Developer role in Technology requiring skills: Node.js, Microservices, Git, Docker, Kubernetes, Python, SQL with 9+ years experience.","Node.js, Microservices, Git, Docker, Kubernetes, Python, SQL",9
Logistics Coordinator,Operations,"Logistics Coordinator role in Operations requiring skills: Project Management, Agile, Excel, Supply Chain with 4+ years experience.","Project Management, Agile, Excel, Supply Chain",4
Data Analyst,Data,"Data Analyst role in Data requiring skills: Machine Learning, Pandas, SQL with 7+ years experience.","Machine Learning, Pandas, SQL",7
AI Researcher,Data,"AI Researcher role in Data requiring skills: NLP, Tableau, Excel, PowerBI, TensorFlow, R, Pandas with 3+ years experience.","NLP, Tableau, Excel, PowerBI, TensorFlow, R, Pandas",3
Investment Analyst,Finance,"Investment Analyst role in Finance requiring skills: Accounting, Excel, Risk Management with 5+ years experience.","Accounting, Excel, Risk Management",5
Business Analyst,Data,"Business Analyst role in Data requiring skills: NLP, SQL, TensorFlow with 3+ years experience.","NLP, SQL, TensorFlow",3
Accountant,Finance,"Accountant role in Finance requiring skills: Investment Modeling, Taxation, Forecasting, Financial Analysis, SQL, Excel, Risk Management with 8+ years experience.","Investment Modeling, Taxation, Forecasting, Financial Analysis, SQL, Excel, Risk Management",8
Nurse,Healthcare,"Nurse role in Healthcare requiring skills: Biostatistics, Healthcare Analytics, Patient Care, Python, Clinical Data Analysis, Research with 8+ years experience.","Biostatistics, Healthcare Analytics, Patient Care, Python, Clinical Data Analysis, Research",8
Data Analyst,Data,"Data Analyst role in Data requiring skills: Tableau, PyTorch, SQL, NLP, PowerBI with 5+ years experience.","Tableau, PyTorch, SQL, NLP, PowerBI",5
Electrical Engineer,Engineering,"Electrical Engineer role in Engineering requiring skills: Robotics, SolidWorks, CAD with 2+ years experience.","Robotics, SolidWorks, CAD",2
Financial Analyst,Finance,"Financial Analyst role in Finance requiring skills: Taxation, Financial Analysis, SQL, Risk Management, Excel, Accounting with 5+ years experience.","Taxation, Financial Analysis, SQL, Risk Management, Excel, Accounting",5
Professor,Education,"Professor role in Education requiring skills: Curriculum Design, Communication, Python with 9+ years experience.","Curriculum Design, Communication, Python",9
DevOps Engineer,Technology,"DevOps Engineer role in Technology requiring skills: Kubernetes, React, Docker, Java, Agile, Python with 2+ years experience.","Kubernetes, React, Docker, Java, Agile, Python",2
Full Stack Developer,Technology,"Full Stack Developer role in Technology requiring skills: React, SQL, Kubernetes, Node.js, Microservices with 2+ years experience.","React, SQL, Kubernetes, Node.js, Microservices",2
Supply Chain Analyst,Operations,"Supply Chain Analyst role in Operations requiring skills: Agile, Logistics, Supply Chain with 9+ years experience.","Agile, Logistics, Supply Chain",9
Supply Chain Analyst,Operations,"Supply Chain Analyst role in Operations requiring skills: Excel, Agile, Supply Chain with 7+ years experience.","Excel, Agile, Supply Chain",7
Logistics Coordinator,Operations,"Logistics Coordinator role in Operations requiring skills: Supply Chain, Agile, Excel, Lean Six Sigma, Project Management, Process Improvement with 6+ years experience.","Supply Chain, Agile, Excel, Lean Six Sigma, Project Management, Process Improvement",6
Risk Analyst,Finance,"Risk Analyst role in Finance requiring skills: Excel, Financial Analysis, Budgeting, Accounting with 4+ years experience.","Excel, Financial Analysis, Budgeting, Accounting",4
Data Scientist,Data,"Data Scientist role in Data requiring skills: NLP, Machine Learning, Statistics with 10+ years experience.","NLP, Machine Learning, Statistics",10
Clinical Researcher,Healthcare,"Clinical Researcher role in Healthcare requiring skills: Medical Terminology, Python, Biostatistics with 6+ years experience.","Medical Terminology, Python, Biostatistics",6
Frontend Developer,Technology,"Frontend Developer role in Technology requiring skills: Node.js, React, C++, SQL, Git, Docker with 3+ years experience.","Node.js, React, C++, SQL, Git, Docker",3
Electrical Engineer,Engineering,"Electrical Engineer role in Engineering requiring skills: PLC Programming, SolidWorks, Python with 9+ years experience.","PLC Programming, SolidWorks, Python",9
Civil Engineer,Engineering,"Civil Engineer role in Engineering requiring skills: AutoCAD, PLC Programming, CAD, Python, Robotics, Project Management with 2+ years experience.","AutoCAD, PLC Programming, CAD, Python, Robotics, Project Management",2
Investment Analyst,Finance,"Investment Analyst role in Finance requiring skills: SQL, Budgeting, Risk Management, Taxation, Financial Analysis, Excel with 9+ years experience.","SQL, Budgeting, Risk Management, Taxation, Financial Analysis, Excel",9
Automation Engineer,Engineering,"Automation Engineer role in Engineering requiring skills: Python, PLC Programming, SolidWorks, C++, Robotics, CAD with 7+ years experience.","Python, PLC Programming, SolidWorks, C++, Robotics, CAD",7
Accountant,Finance,"Accountant role in Finance requiring skills: Taxation, Excel, Financial Analysis, Risk Management, Accounting with 6+ years experience.","Taxation, Excel, Financial Analysis, Risk Management, Accounting",6
Sales Manager,Sales,"Sales Manager role in Sales requiring skills: Business Development, Sales Strategy, Excel with 4+ years experience.","Business Development, Sales Strategy, Excel",4
Cloud Engineer,Technology,"Cloud Engineer role in Technology requiring skills: React, Git, Agile, Linux, SQL, Docker with 9+ years experience.","React, Git, Agile, Linux, SQL, Docker",9
Education Consultant,Education,"Education Consultant role in Education requiring skills: Research, Python, Communication with 4+ years experience.","Research, Python, Communication",4
Logistics Coordinator,Operations,"Logistics Coordinator role in Operations requiring skills: Agile, Excel, Process Improvement, Supply Chain, Lean Six Sigma, Project Management with 7+ years experience.","Agile, Excel, Process Improvement, Supply Chain, Lean Six Sigma, Project Management",7
Supply Chain Analyst,Operations,"Supply Chain Analyst role in Operations requiring skills: Supply Chain, Lean Six Sigma, Agile with 4+ years experience.","Supply Chain, Lean Six Sigma, Agile",4
Account Executive,Sales,"Account Executive role in Sales requiring skills: Negotiation, Sales Strategy, Excel, Presentation Skills, Lead Generation, CRM, Business Development with 10+ years experience.","Negotiation, Sales Strategy, Excel, Presentation Skills, Lead Generation, CRM, Business Development",10
Education Consultant,Education,"Education Consultant role in Education requiring skills: Communication, Educational Technology, Teaching with 4+ years experience.","Communication, Educational Technology, Teaching",4
Robotics Engineer,Engineering,"Robotics Engineer role in Engineering requiring skills: AutoCAD, C++, Robotics, SolidWorks, Python, CAD, Project Management with 7+ years experience.","AutoCAD, C++, Robotics, SolidWorks, Python, CAD, Project Management",7
Accountant,Finance,"Accountant role in Finance requiring skills: Forecasting, Risk Management, Accounting, SQL with 8+ years experience.","Forecasting, Risk Management, Accounting, SQL",8
Sales Analyst,Sales,"Sales Analyst role in Sales requiring skills: Negotiation, Sales Strategy, Lead Generation, Business Development, CRM with 5+ years experience.","Negotiation, Sales Strategy, Lead Generation, Business Development, CRM",5
Clinical Researcher,Healthcare,"Clinical Researcher role in Healthcare requiring skills: Python, Research, Healthcare Analytics, Clinical Data Analysis, Patient Care, Biostatistics, Medical Terminology with 4+ years experience.","Python, Research, Healthcare Analytics, Clinical Data Analysis, Patient Care, Biostatistics, Medical Terminology",4
Brand Manager,Marketing,"Brand Manager role in Marketing requiring skills: Brand Management, Social Media, SEO, Google Analytics, Marketing Strategy, PPC, Content Marketing with 4+ years experience.","Brand Management, Social Media, SEO, Google Analytics, Marketing Strategy, PPC, Content Marketing",4
Robotics Engineer,Engineering,"Robotics Engineer role in Engineering requiring skills: CAD, Project Management, MATLAB, PLC Programming with 4+ years experience.","CAD, Project Management, MATLAB, PLC Programming",4
Business Analyst,Data,"Business Analyst role in Data requiring skills: Pandas, NLP, SQL, Big Data with 10+ years experience.","Pandas, NLP, SQL, Big Data",10
Logistics Coordinator,Operations,"Logistics Coordinator role in Operations requiring skills: Agile, Lean Six Sigma, Excel, Process Improvement with 2+ years experience.","Agile, Lean Six Sigma, Excel, Process Improvement",2
Frontend Developer,Technology,"Frontend Developer role in Technology requiring skills: Node.js, Docker, Kubernetes with 8+ years experience.","Node.js, Docker, Kubernetes",8
Education Consultant,Education,"Education Consultant role in Education requiring skills: Python, Research, Curriculum Design, Educational Technology, Teaching with 3+ years experience.","Python, Research, Curriculum Design, Educational Technology, Teaching",3
Data Scientist,Data,"Data Scientist role in Data requiring skills: R, Spark, Python with 7+ years experience.","R, Spark, Python",7
Data Analyst,Data,"Data Analyst role in Data requiring skills: Big Data, PowerBI, Machine Learning, Spark, Statistics, PyTorch with 3+ years experience.","Big Data, PowerBI, Machine Learning, Spark, Statistics, PyTorch",3
Content Strategist,Marketing,"Content Strategist role in Marketing requiring skills: Social Media, Brand Management, Email Marketing, Content Marketing, Google Analytics, Excel with 8+ years experience.","Social Media, Brand Management, Email Marketing, Content Marketing, Google Analytics, Excel",8
Marketing Manager,Marketing,"Marketing Manager role in Marketing requiring skills: Brand Management, Marketing Strategy, Google Analytics, Excel, SEO with 5+ years experience.","Brand Management, Marketing Strategy, Google Analytics, Excel, SEO",5
Digital Marketing Analyst,Marketing,"Digital Marketing Analyst role in Marketing requiring skills: Excel, Google Analytics, PPC, Marketing Strategy, Social Media with 6+ years experience.","Excel, Google Analytics, PPC, Marketing Strategy, Social Media",6
Auditor,Finance,"Auditor role in Finance requiring skills: Excel, Financial Analysis, Accounting, Investment Modeling, Taxation with 10+ years experience.","Excel, Financial Analysis, Accounting, Investment Modeling, Taxation",10
Digital Marketing Analyst,Marketing,"Digital Marketing Analyst role in Marketing requiring skills: Social Media, Marketing Strategy, Content Marketing with 6+ years experience.","Social Media, Marketing Strategy, Content Marketing",6
Professor,Education,"Professor role in Education requiring skills: Educational Technology, Python, Teaching, Communication with 4+ years experience.","Educational Technology, Python, Teaching, Communication",4
Account Executive,Sales,"Account Executive role in Sales requiring skills: Presentation Skills, Excel, CRM, Lead Generation with 3+ years experience.","Presentation Skills, Excel, CRM, Lead Generation",3
Auditor,Finance,"Auditor role in Finance requiring skills: Investment Modeling, SQL, Accounting, Excel with 3+ years experience.","Investment Modeling, SQL, Accounting, Excel",3
Digital Marketing Analyst,Marketing,"Digital Marketing Analyst role in Marketing requiring skills: Marketing Strategy, Social Media, PPC, Brand Management, Email Marketing with 10+ years experience.","Marketing Strategy, Social Media, PPC, Brand Management, Email Marketing",10
QA Engineer,Technology,"QA Engineer role in Technology requiring skills: Kubernetes, Agile, CI/CD, SQL, Java with 9+ years experience.","Kubernetes, Agile, CI/CD, SQL, Java",9
Digital Marketing Analyst,Marketing,"Digital Marketing Analyst role in Marketing requiring skills: Social Media, Content Marketing, Email Marketing with 3+ years experience.","Social Media, Content Marketing, Email Marketing",3
Automation Engineer,Engineering,"Automation Engineer role in Engineering requiring skills: Robotics, Python, AutoCAD, C++, Project Management with 6+ years experience.","Robotics, Python, AutoCAD, C++, Project Management",6
Accountant,Finance,"Accountant role in Finance requiring skills: Risk Management, Accounting, Budgeting, Financial Analysis with 9+ years experience.","Risk Management, Accounting, Budgeting, Financial Analysis",9
QA Engineer,Technology,"QA Engineer role in Technology requiring skills: CI/CD, Git, SQL, Docker with 2+ years experience.","CI/CD, Git, SQL, Docker",2
AI Researcher,Data,"AI Researcher role in Data requiring skills: Spark, Pandas, TensorFlow with 8+ years experience.","Spark, Pandas, TensorFlow",8
Brand Manager,Marketing,"Brand Manager role in Marketing requiring skills: PPC, Social Media, Marketing Strategy, Excel, SEO with 4+ years experience.","PPC, Social Media, Marketing Strategy, Excel, SEO",4
Sales Analyst,Sales,"Sales Analyst role in Sales requiring skills: Sales Strategy, Excel, Business Development, Presentation Skills, CRM, Lead Generation with 9+ years experience.","Sales Strategy, Excel, Business Development, Presentation Skills, CRM, Lead Generation",9
Mechanical Engineer,Engineering,"Mechanical Engineer role in Engineering requiring skills: MATLAB, Python, PLC Programming, AutoCAD, Robotics with 3+ years experience.","MATLAB, Python, PLC Programming, AutoCAD, Robotics",3
Software Engineer,Technology,"Software Engineer role in Technology requiring skills: Kubernetes, SQL, Java, Docker with 7+ years experience.","Kubernetes, SQL, Java, Docker",7
Accountant,Finance,"Accountant role in Finance requiring skills: Financial Analysis, Taxation, Investment Modeling, Budgeting, Risk Management with 10+ years experience.","Financial Analysis, Taxation, Investment Modeling, Budgeting, Risk Management",10
AI Researcher,Data,"AI Researcher role in Data requiring skills: Tableau, SQL, NLP with 9+ years experience.","Tableau, SQL, NLP",9
Operations Manager,Operations,"Operations Manager role in Operations requiring skills: Project Management, Logistics, Supply Chain, Excel, Agile, Lean Six Sigma, Process Improvement with 7+ years experience.","Project Management, Logistics, Supply Chain, Excel, Agile, Lean Six Sigma, Process Improvement",7
Software Engineer,Technology,"Software Engineer role in Technology requiring skills: Cloud, Java, Docker, Microservices, Kubernetes, CI/CD, React with 3+ years experience.","Cloud, Java, Docker, Microservices, Kubernetes, CI/CD, React",3
Logistics Coordinator,Operations,"Logistics Coordinator role in Operations requiring skills: Process Improvement, Excel, Supply Chain, Logistics, Lean Six Sigma, Agile with 6+ years experience.","Process Improvement, Excel, Supply Chain, Logistics, Lean Six Sigma, Agile",6
Sales Analyst,Sales,"Sales Analyst role in Sales requiring skills: Negotiation, Lead Generation, Presentation Skills, CRM with 6+ years experience.","Negotiation, Lead Generation, Presentation Skills, CRM",6
Account Executive,Sales,"Account Executive role in Sales requiring skills: Negotiation, Lead Generation, Presentation Skills with 2+ years experience.","Negotiation, Lead Generation, Presentation Skills",2
Education Consultant,Education,"Education Consultant role in Education requiring skills: Research, Curriculum Design, Communication with 9+ years experience.","Research, Curriculum Design, Communication",9
Frontend Developer,Technology,"Frontend Developer role in Technology requiring skills: Kubernetes, React, Python with 10+ years experience.","Kubernetes, React, Python",10
Business Analyst,Data,"Business Analyst role in Data requiring skills: NLP, Spark, Pandas with 10+ years experience.","NLP, Spark, Pandas",10
SEO Specialist,Marketing,"SEO Specialist role in Marketing requiring skills: SEO, Email Marketing, Content Marketing with 2+ years experience.","SEO, Email Marketing, Content Marketing",2
Investment Analyst,Finance,"Investment Analyst role in Finance requiring skills: Financial Analysis, SQL, Investment Modeling, Forecasting, Risk Management, Budgeting, Accounting with 5+ years experience.","Financial Analysis, SQL, Investment Modeling, Forecasting, Risk Management, Budgeting, Accounting",5
Business Development Manager,Sales,"Business Development Manager role in Sales requiring skills: CRM, Business Development, Sales Strategy, Presentation Skills, Lead Generation, Excel with 7+ years experience.","CRM, Business Development, Sales Strategy, Presentation Skills, Lead Generation, Excel",7
Data Analyst,Data,"Data Analyst role in Data requiring skills: PyTorch, Python, NLP, SQL, Deep Learning, R, Machine Learning with 5+ years experience.","PyTorch, Python, NLP, SQL, Deep Learning, R, Machine Learning",5
Robotics Engineer,Engineering,"Robotics Engineer role in Engineering requiring skills: AutoCAD, C++, MATLAB, PLC Programming with 7+ years experience.","AutoCAD, C++, MATLAB, PLC Programming",7
Lab Technician,Healthcare,"Lab Technician role in Healthcare requiring skills: Medical Terminology, Biostatistics, Patient Care, Research with 6+ years experience.","Medical Terminology, Biostatistics, Patient Care, Research",6
Supply Chain Analyst,Operations,"Supply Chain Analyst role in Operations requiring skills: Project Management, Lean Six Sigma, Process Improvement, Agile, Excel, Supply Chain with 6+ years experience.","Project Management, Lean Six Sigma, Process Improvement, Agile, Excel, Supply Chain",6
Clinical Researcher,Healthcare,"Clinical Researcher role in Healthcare requiring skills: Clinical Data Analysis, Biostatistics, Research, Healthcare Analytics, Patient Care, Medical Terminology with 9+ years experience.","Clinical Data Analysis, Biostatistics, Research, Healthcare Analytics, Patient Care, Medical Terminology",9
Financial Analyst,Finance,"Financial Analyst role in Finance requiring skills: Financial Analysis, SQL, Excel, Taxation, Forecasting, Accounting, Budgeting with 6+ years experience.","Financial Analysis, SQL, Excel, Taxation, Forecasting, Accounting, Budgeting",6
Financial Analyst,Finance,"Financial Analyst role in Finance requiring skills: Taxation, Forecasting, Budgeting, Excel, Accounting with 9+ years experience.","Taxation, Forecasting, Budgeting, Excel, Accounting",9
Risk Analyst,Finance,"Risk Analyst role in Finance requiring skills: Accounting, Forecasting, SQL with 8+ years experience.","Accounting, Forecasting, SQL",8
Business Analyst,Data,"Business Analyst role in Data requiring skills: PowerBI, SQL, Machine Learning, Excel with 4+ years experience.","PowerBI, SQL, Machine Learning, Excel",4
Cloud Engineer,Technology,"Cloud Engineer role in Technology requiring skills: Kubernetes, CI/CD, SQL, Cloud, Linux, Docker with 3+ years experience.","Kubernetes, CI/CD, SQL, Cloud, Linux, Docker",3
Data Engineer,Data,"Data Engineer role in Data requiring skills: R, PyTorch, SQL with 2+ years experience.","R, PyTorch, SQL",2
Project Manager,Operations,"Project Manager role in Operations requiring skills: Project Management, Agile, Supply Chain, Lean Six Sigma, Logistics with 6+ years experience.","Project Management, Agile, Supply Chain, Lean Six Sigma, Logistics",6
Teacher,Education,"Teacher role in Education requiring skills: Educational Technology, Teaching, Research with 3+ years experience.","Educational Technology, Teaching, Research",3
SEO Specialist,Marketing,"SEO Specialist role in Marketing requiring skills: Brand Management, Email Marketing, Social Media, Excel, Marketing Strategy with 7+ years experience.","Brand Management, Email Marketing, Social Media, Excel, Marketing Strategy",7
Operations Manager,Operations,"Operations Manager role in Operations requiring skills: Agile, Logistics, Excel, Supply Chain, Process Improvement, Lean Six Sigma, Project Management with 9+ years experience.","Agile, Logistics, Excel, Supply Chain, Process Improvement, Lean Six Sigma, Project Management",9
Business Analyst,Data,"Business Analyst role in Data requiring skills: Excel, TensorFlow, Big Data, Pandas, SQL, Statistics, PyTorch with 10+ years experience.","Excel, TensorFlow, Big Data, Pandas, SQL, Statistics, PyTorch",10
Data Scientist,Data,"Data Scientist role in Data requiring skills: SQL, Pandas, Deep Learning, TensorFlow, Python with 7+ years experience.","SQL, Pandas, Deep Learning, TensorFlow, Python",7
Digital Marketing Analyst,Marketing,"Digital Marketing Analyst role in Marketing requiring skills: SEO, PPC, Marketing Strategy with 4+ years experience.","SEO, PPC, Marketing Strategy",4
AI Researcher,Data,"AI Researcher role in Data requiring skills: NLP, Statistics, PyTorch, Spark, Machine Learning, Tableau, Pandas with 4+ years experience.","NLP, Statistics, PyTorch, Spark, Machine Learning, Tableau, Pandas",4
