job_title,industry,job_description,skills_required,experience_required,job_description_clean,skills_required_list
Frontend Developer,Technology,"Frontend Developer role in Technology requiring skills: Linux, C++, CI/CD, Node.js with 6+ years experience.","Linux, C++, CI/CD, Node.js",6,"frontend developer role in technology requiring skills linux, c, cicd, nodejs with 6 years experience","['Linux', 'C++', 'CI/CD', 'Node.js']"
Business Development Manager,Sales,"Business Development Manager role in Sales requiring skills: Sales Strategy, Presentation Skills, Lead Generation, Excel, CRM with 9+ years experience.","Sales Strategy, Presentation Skills, Lead Generation, Excel, CRM",9,"business development manager role in sales requiring skills sales strategy, presentation skills, lead generation, excel, crm with 9 years experience","['Sales Strategy', 'Presentation Skills', 'Lead Generation', 'Excel', 'CRM']"
Industrial Engineer,Engineering,"Industrial Engineer role in Engineering requiring skills: Python, CAD, SolidWorks, Robotics, MATLAB, C++ with 3+ years experience.","Python, CAD, SolidWorks, Robotics, MATLAB, C++",3,"industrial engineer role in engineering requiring skills python, cad, solidworks, robotics, matlab, c with 3 years experience","['Python', 'CAD', 'SolidWorks', 'Robotics', 'MATLAB', 'C++']"
Electrical Engineer,Engineering,"Electrical Engineer role in Engineering requiring skills: SolidWorks, PLC Programming, AutoCAD, CAD, MATLAB, Robotics, C++ with 3+ years experience.","SolidWorks, PLC Programming, AutoCAD, CAD, MATLAB, Robotics, C++",3,"electrical engineer role in engineering requiring skills solidworks, plc programming, autocad, cad, matlab, robotics, c with 3 years experience","['SolidWorks', 'PLC Programming', 'AutoCAD', 'CAD', 'MATLAB', 'Robotics', 'C++']"
Medical Data Analyst,Healthcare,"Medical Data Analyst role in Healthcare requiring skills: Biostatistics, Patient Care, Python, Clinical Data Analysis with 10+ years experience.","Biostatistics, Patient Care, Python, Clinical Data Analysis",10,"medical data analyst role in healthcare requiring skills biostatistics, patient care, python, clinical data analysis with 10 years experience","['Biostatistics', 'Patient Care', 'Python', 'Clinical Data Analysis']"
Nurse,Healthcare,"Nurse role in Healthcare requiring skills: Research, Clinical Data Analysis, Python with 9+ years experience.","Research, Clinical Data Analysis, Python",9,"nurse role in healthcare requiring skills research, clinical data analysis, python with 9 years experience","['Research', 'Clinical Data Analysis', 'Python']"
ML Engineer,Data,"ML Engineer role in Data requiring skills: NLP, Tableau, Excel, R, Statistics, Spark with 4+ years experience.","NLP, Tableau, Excel, R, Statistics, Spark",4,"ml engineer role in data requiring skills nlp, tableau, excel, r, statistics, spark with 4 years experience","['NLP', 'Tableau', 'Excel', 'R', 'Statistics', 'Spark']"
Logistics Coordinator,Operations,"Logistics Coordinator role in Operations requiring skills: Logistics, Supply Chain, Lean Six Sigma, Agile, Process Improvement, Project Management, Excel with 3+ years experience.","Logistics, Supply Chain, Lean Six Sigma, Agile, Process Improvement, Project Management, Excel",3,"logistics coordinator role in operations requiring skills logistics, supply chain, lean six sigma, agile, process improvement, project management, excel with 3 years experience","['Logistics', 'Supply Chain', 'Lean Six Sigma', 'Agile', 'Process Improvement', 'Project Management', 'Excel']"
Electrical Engineer,Engineering,"Electrical Engineer role in Engineering requiring skills: Python, AutoCAD, CAD, PLC Programming, Project Management, Robotics, C++ with 9+ years experience.","Python, AutoCAD, CAD, PLC Programming, Project Management, Robotics, C++",9,"electrical engineer role in engineering requiring skills python, autocad, cad, plc programming, project management, robotics, c with 9 years experience","['Python', 'AutoCAD', 'CAD', 'PLC Programming', 'Project Management', 'Robotics', 'C++']"
Investment Analyst,Finance,"Investment Analyst role in Finance requiring skills: SQL, Accounting, Risk Management with 7+ years experience.","SQL, Accounting, Risk Management",7,"investment analyst role in finance requiring skills sql, accounting, risk management with 7 years experience","['SQL', 'Accounting', 'Risk Management']"
Backend Developer,Technology,"Backend Developer role in Technology requiring skills: Microservices, React, Agile, Node.js, Java with 6+ years experience.","Microservices, React, Agile, Node.js, Java",6,"backend developer role in technology requiring skills microservices, react, agile, nodejs, java with 6 years experience","['Microservices', 'React', 'Agile', 'Node.js', 'Java']"
Data Analyst,Data,"Data Analyst role in Data requiring skills: NLP, Statistics, Deep Learning, SQL, Big Data with 2+ years experience.","NLP, Statistics, Deep Learning, SQL, Big Data",2,"data analyst role in data requiring skills nlp, statistics, deep learning, sql, big data with 2 years experience","['NLP', 'Statistics', 'Deep Learning', 'SQL', 'Big Data']"
Investment Analyst,Finance,"Investment Analyst role in Finance requiring skills: Forecasting, Risk Management, Accounting, Financial Analysis with 6+ years experience.","Forecasting, Risk Management, Accounting, Financial Analysis",6,"investment analyst role in finance requiring skills forecasting, risk management, accounting, financial analysis with 6 years experience","['Forecasting', 'Risk Management', 'Accounting', 'Financial Analysis']"
Automation Engineer,Engineering,"Automation Engineer role in Engineering requiring skills: Robotics, CAD, C++, Project Management, Python with 7+ years experience.","Robotics, CAD, C++, Project Management, Python",7,"automation engineer role in engineering requiring skills robotics, cad, c, project management, python with 7 years experience","['Robotics', 'CAD', 'C++', 'Project Management', 'Python']"
Software Engineer,Technology,"Software Engineer role in Technology requiring skills: Java, Python, SQL, Agile with 4+ years experience.","Java, Python, SQL, Agile",4,"software engineer role in technology requiring skills java, python, sql, agile with 4 years experience","['Java', 'Python', 'SQL', 'Agile']"
Automation Engineer,Engineering,"Automation Engineer role in Engineering requiring skills: CAD, SolidWorks, C++, Project Management, MATLAB with 4+ years experience.","CAD, SolidWorks, C++, Project Management, MATLAB",4,"automation engineer role in engineering requiring skills cad, solidworks, c, project management, matlab with 4 years experience","['CAD', 'SolidWorks', 'C++', 'Project Management', 'MATLAB']"
Digital Marketing Analyst,Marketing,"Digital Marketing Analyst role in Marketing requiring skills: Brand Management, Excel, PPC, Marketing Strategy, Google Analytics, Content Marketing, SEO with 7+ years experience.","Brand Management, Excel, PPC, Marketing Strategy, Google Analytics, Content Marketing, SEO",7,"digital marketing analyst role in marketing requiring skills brand management, excel, ppc, marketing strategy, google analytics, content marketing, seo with 7 years experience","['Brand Management', 'Excel', 'PPC', 'Marketing Strategy', 'Google Analytics', 'Content Marketing', 'SEO']"
Nurse,Healthcare,"Nurse role in Healthcare requiring skills: Biostatistics, Healthcare Analytics, Python, Clinical Data Analysis, Medical Terminology with 7+ years experience.","Biostatistics, Healthcare Analytics, Python, Clinical Data Analysis, Medical Terminology",7,"nurse role in healthcare requiring skills biostatistics, healthcare analytics, python, clinical data analysis, medical terminology with 7 years experience","['Biostatistics', 'Healthcare Analytics', 'Python', 'Clinical Data Analysis', 'Medical Terminology']"
Auditor,Finance,"Auditor role in Finance requiring skills: Budgeting, Accounting, Financial Analysis, Taxation, SQL with 10+ years experience.","Budgeting, Accounting, Financial Analysis, Taxation, SQL",10,"auditor role in finance requiring skills budgeting, accounting, financial analysis, taxation, sql with 10 years experience","['Budgeting', 'Accounting', 'Financial Analysis', 'Taxation', 'SQL']"
Auditor,Finance,"Auditor role in Finance requiring skills: Budgeting, Excel, Accounting with 9+ years experience.","Budgeting, Excel, Accounting",9,"auditor role in finance requiring skills budgeting, excel, accounting with 9 years experience","['Budgeting', 'Excel', 'Accounting']"
Logistics Coordinator,Operations,"Logistics Coordinator role in Operations requiring skills: Lean Six Sigma, Supply Chain, Excel, Process Improvement, Logistics, Agile with 10+ years experience.","Lean Six Sigma, Supply Chain, Excel, Process Improvement, Logistics, Agile",10,"logistics coordinator role in operations requiring skills lean six sigma, supply chain, excel, process improvement, logistics, agile with 10 years experience","['Lean Six Sigma', 'Supply Chain', 'Excel', 'Process Improvement', 'Logistics', 'Agile']"
Business Development Manager,Sales,"Business Development Manager role in Sales requiring skills: Business Development, Lead Generation, CRM with 10+ years experience.","Business Development, Lead Generation, CRM",10,"business development manager role in sales requiring skills business development, lead generation, crm with 10 years experience","['Business Development', 'Lead Generation', 'CRM']"
Robotics Engineer,Engineering,"Robotics Engineer role in Engineering requiring skills: AutoCAD, Robotics, SolidWorks, Python, MATLAB, C++, Project Management with 9+ years experience.","AutoCAD, Robotics, SolidWorks, Python, MATLAB, C++, Project Management",9,"robotics engineer role in engineering requiring skills autocad, robotics, solidworks, python, matlab, c, project management with 9 years experience","['AutoCAD', 'Robotics', 'SolidWorks', 'Python', 'MATLAB', 'C++', 'Project Management']"
Investment Analyst,Finance,"Investment Analyst role in Finance requiring skills: Accounting, Taxation, SQL, Risk Management with 3+ years experience.","Accounting, Taxation, SQL, Risk Management",3,"investment analyst role in finance requiring skills accounting, taxation, sql, risk management with 3 years experience","['Accounting', 'Taxation', 'SQL', 'Risk Management']"
DevOps Engineer,Technology,"DevOps Engineer role in Technology requiring skills: React, Node.js, Git, Agile, Kubernetes, SQL, CI/CD with 10+ years experience.","React, Node.js, Git, Agile, Kubernetes, SQL, CI/CD",10,"devops engineer role in technology requiring skills react, nodejs, git, agile, kubernetes, sql, cicd with 10 years experience","['React', 'Node.js', 'Git', 'Agile', 'Kubernetes', 'SQL', 'CI/CD']"
Professor,Education,"Professor role in Education requiring skills: Educational Technology, Research, Python, Curriculum Design with 8+ years experience.","Educational Technology, Research, Python, Curriculum Design",8,"professor role in education requiring skills educational technology, research, python, curriculum design with 8 years experience","['Educational Technology', 'Research', 'Python', 'Curriculum Design']"
DevOps Engineer,Technology,"DevOps Engineer role in Technology requiring skills: CI/CD, Python, Agile, Node.js, Microservices, React with 8+ years experience.","CI/CD, Python, Agile, Node.js, Microservices, React",8,"devops engineer role in technology requiring skills cicd, python, agile, nodejs, microservices, react with 8 years experience","['CI/CD', 'Python', 'Agile', 'Node.js', 'Microservices', 'React']"
Data Analyst,Data,"Data Analyst role in Data requiring skills: SQL, Excel, Deep Learning, NLP, TensorFlow with 5+ years experience.","SQL, Excel, Deep Learning, NLP, TensorFlow",5,"data analyst role in data requiring skills sql, excel, deep learning, nlp, tensorflow with 5 years experience","['SQL', 'Excel', 'Deep Learning', 'NLP', 'TensorFlow']"
Sales Manager,Sales,"Sales Manager role in Sales requiring skills: Negotiation, Presentation Skills, CRM with 8+ years experience.","Negotiation, Presentation Skills, CRM",8,"sales manager role in sales requiring skills negotiation, presentation skills, crm with 8 years experience","['Negotiation', 'Presentation Skills', 'CRM']"
Medical Data Analyst,Healthcare,"Medical Data Analyst role in Healthcare requiring skills: Biostatistics, Medical Terminology, Clinical Data Analysis, Healthcare Analytics with 7+ years experience.","Biostatistics, Medical Terminology, Clinical Data Analysis, Healthcare Analytics",7,"medical data analyst role in healthcare requiring skills biostatistics, medical terminology, clinical data analysis, healthcare analytics with 7 years experience","['Biostatistics', 'Medical Terminology', 'Clinical Data Analysis', 'Healthcare Analytics']"
Cloud Engineer,Technology,"Cloud Engineer role in Technology requiring skills: C++, Agile, Node.js, Kubernetes, Docker with 6+ years experience.","C++, Agile, Node.js, Kubernetes, Docker",6,"cloud engineer role in technology requiring skills c, agile, nodejs, kubernetes, docker with 6 years experience","['C++', 'Agile', 'Node.js', 'Kubernetes', 'Docker']"
Project Manager,Operations,"Project Manager role in Operations requiring skills: Supply Chain, Project Management, Excel with 8+ years experience.","Supply Chain, Project Management, Excel",8,"project manager role in operations requiring skills supply chain, project management, excel with 8 years experience","['Supply Chain', 'Project Management', 'Excel']"
Full Stack Developer,Technology,"Full Stack Developer role in Technology requiring skills: CI/CD, Python, Git, Node.js, Kubernetes with 2+ years experience.","CI/CD, Python, Git, Node.js, Kubernetes",2,"full stack developer role in technology requiring skills cicd, python, git, nodejs, kubernetes with 2 years experience","['CI/CD', 'Python', 'Git', 'Node.js', 'Kubernetes']"
Teacher,Education,"Teacher role in Education requiring skills: Research, Curriculum Design, Educational Technology, Python, Communication with 7+ years experience.","Research, Curriculum Design, Educational Technology, Python, Communication",7,"teacher role in education requiring skills research, curriculum design, educational technology, python, communication with 7 years experience","['Research', 'Curriculum Design', 'Educational Technology', 'Python', 'Communication']"
Auditor,Finance,"Auditor role in Finance requiring skills: Forecasting, Accounting, Taxation, Budgeting, Risk Management, Investment Modeling, Excel with 4+ years experience.","Forecasting, Accounting, Taxation, Budgeting, Risk Management, Investment Modeling, Excel",4,"auditor role in finance requiring skills forecasting, accounting, taxation, budgeting, risk management, investment modeling, excel with 4 years experience","['Forecasting', 'Accounting', 'Taxation', 'Budgeting', 'Risk Management', 'Investment Modeling', 'Excel']"
SEO Specialist,Marketing,"SEO Specialist role in Marketing requiring skills: Brand Management, PPC, Excel, Google Analytics, SEO, Social Media, Email Marketing with 6+ years experience.","Brand Management, PPC, Excel, Google Analytics, SEO, Social Media, Email Marketing",6,"seo specialist role in marketing requiring skills brand management, ppc, excel, google analytics, seo, social media, email marketing with 6 years experience","['Brand Management', 'PPC', 'Excel', 'Google Analytics', 'SEO', 'Social Media', 'Email Marketing']"
Risk Analyst,Finance,"Risk Analyst role in Finance requiring skills: Excel, Risk Management, Taxation, Budgeting, Accounting with 10+ years experience.","Excel, Risk Management, Taxation, Budgeting, Accounting",10,"risk analyst role in finance requiring skills excel, risk management, taxation, budgeting, accounting with 10 years experience","['Excel', 'Risk Management', 'Taxation', 'Budgeting', 'Accounting']"
Full Stack Developer,Technology,"Full Stack Developer role in Technology requiring skills: Agile, Kubernetes, Microservices, Docker with 10+ years experience.","Agile, Kubernetes, Microservices, Docker",10,"full stack developer role in technology requiring skills agile, kubernetes, microservices, docker with 10 years experience","['Agile', 'Kubernetes', 'Microservices', 'Docker']"
Industrial Engineer,Engineering,"Industrial Engineer role in Engineering requiring skills: AutoCAD, MATLAB, CAD, C++, PLC Programming, Python with 5+ years experience.","AutoCAD, MATLAB, CAD, C++, PLC Programming, Python",5,"industrial engineer role in engineering requiring skills autocad, matlab, cad, c, plc programming, python with 5 years experience","['AutoCAD', 'MATLAB', 'CAD', 'C++', 'PLC Programming', 'Python']"
Cloud Engineer,Technology,"Cloud Engineer role in Technology requiring skills: Agile, Java, C++, CI/CD, Git, Docker with 10+ years experience.","Agile, Java, C++, CI/CD, Git, Docker",10,"cloud engineer role in technology requiring skills agile, java, c, cicd, git, docker with 10 years experience","['Agile', 'Java', 'C++', 'CI/CD', 'Git', 'Docker']"
Robotics Engineer,Engineering,"Robotics Engineer role in Engineering requiring skills: Project Management, Robotics, CAD with 4+ years experience.","Project Management, Robotics, CAD",4,"robotics engineer role in engineering requiring skills project management, robotics, cad with 4 years experience","['Project Management', 'Robotics', 'CAD']"
Data Scientist,Data,"Data Scientist role in Data requiring skills: Statistics, Excel, SQL, R, Big Data with 7+ years experience.","Statistics, Excel, SQL, R, Big Data",7,"data scientist role in data requiring skills statistics, excel, sql, r, big data with 7 years experience","['Statistics', 'Excel', 'SQL', 'R', 'Big Data']"
Digital Marketing Analyst,Marketing,"Digital Marketing Analyst role in Marketing requiring skills: Excel, PPC, Content Marketing, Google Analytics, SEO, Marketing Strategy with 6+ years experience.","Excel, PPC, Content Marketing, Google Analytics, SEO, Marketing Strategy",6,"digital marketing analyst role in marketing requiring skills excel, ppc, content marketing, google analytics, seo, marketing strategy with 6 years experience","['Excel', 'PPC', 'Content Marketing', 'Google Analytics', 'SEO', 'Marketing Strategy']"
Data Scientist,Data,"Data Scientist role in Data requiring skills: Python, PowerBI, NLP, Statistics, Big Data with 6+ years experience.","Python, PowerBI, NLP, Statistics, Big Data",6,"data scientist role in data requiring skills python, powerbi, nlp, statistics, big data with 6 years experience","['Python', 'PowerBI', 'NLP', 'Statistics', 'Big Data']"
Frontend Developer,Technology,"Frontend Developer role in Technology requiring skills: Node.js, Docker, Git, Python, Kubernetes with 8+ years experience.","Node.js, Docker, Git, Python, Kubernetes",8,"frontend developer role in technology requiring skills nodejs, docker, git, python, kubernetes with 8 years experience","['Node.js', 'Docker', 'Git', 'Python', 'Kubernetes']"
AI Researcher,Data,"AI Researcher role in Data requiring skills: PyTorch, R, Big Data, SQL, TensorFlow, Statistics, Machine Learning with 9+ years experience.","PyTorch, R, Big Data, SQL, TensorFlow, Statistics, Machine Learning",9,"ai researcher role in data requiring skills pytorch, r, big data, sql, tensorflow, statistics, machine learning with 9 years experience","['PyTorch', 'R', 'Big Data', 'SQL', 'TensorFlow', 'Statistics', 'Machine Learning']"
Business Analyst,Data,"Business Analyst role in Data requiring skills: Tableau, PyTorch, Deep Learning, Pandas with 3+ years experience.","Tableau, PyTorch, Deep Learning, Pandas",3,"business analyst role in data requiring skills tableau, pytorch, deep learning, pandas with 3 years experience","['Tableau', 'PyTorch', 'Deep Learning', 'Pandas']"
Electrical Engineer,Engineering,"Electrical Engineer role in Engineering requiring skills: PLC Programming, MATLAB, Project Management, Python, Robotics, AutoCAD, C++ with 10+ years experience.","PLC Programming, MATLAB, Project Management, Python, Robotics, AutoCAD, C++",10,"electrical engineer role in engineering requiring skills plc programming, matlab, project management, python, robotics, autocad, c with 10 years experience","['PLC Programming', 'MATLAB', 'Project Management', 'Python', 'Robotics', 'AutoCAD', 'C++']"
Nurse,Healthcare,"Nurse role in Healthcare requiring skills: Patient Care, Python, Clinical Data Analysis with 6+ years experience.","Patient Care, Python, Clinical Data Analysis",6,"nurse role in healthcare requiring skills patient care, python, clinical data analysis with 6 years experience","['Patient Care', 'Python', 'Clinical Data Analysis']"
Backend Developer,Technology,"Backend Developer role in Technology requiring skills: Docker, Python, C++, CI/CD, Kubernetes, Git, SQL with 6+ years experience.","Docker, Python, C++, CI/CD, Kubernetes, Git, SQL",6,"backend developer role in technology requiring skills docker, python, c, cicd, kubernetes, git, sql with 6 years experience","['Docker', 'Python', 'C++', 'CI/CD', 'Kubernetes', 'Git', 'SQL']"
Logistics Coordinator,Operations,"Logistics Coordinator role in Operations requiring skills: Logistics, Excel, Process Improvement, Project Management with 5+ years experience.","Logistics, Excel, Process Improvement, Project Management",5,"logistics coordinator role in operations requiring skills logistics, excel, process improvement, project management with 5 years experience","['Logistics', 'Excel', 'Process Improvement', 'Project Management']"
Project Manager,Operations,"Project Manager role in Operations requiring skills: Project Management, Logistics, Lean Six Sigma, Agile, Process Improvement, Supply Chain, Excel with 5+ years experience.","Project Management, Logistics, Lean Six Sigma, Agile, Process Improvement, Supply Chain, Excel",5,"project manager role in operations requiring skills project management, logistics, lean six sigma, agile, process improvement, supply chain, excel with 5 years experience","['Project Management', 'Logistics', 'Lean Six Sigma', 'Agile', 'Process Improvement', 'Supply Chain', 'Excel']"
Business Development Manager,Sales,"Business Development Manager role in Sales requiring skills: Lead Generation, Negotiation, Presentation Skills with 4+ years experience.","Lead Generation, Negotiation, Presentation Skills",4,"business development manager role in sales requiring skills lead generation, negotiation, presentation skills with 4 years experience","['Lead Generation', 'Negotiation', 'Presentation Skills']"
DevOps Engineer,Technology,"DevOps Engineer role in Technology requiring skills: Kubernetes, Microservices, Cloud, Docker, C++, CI/CD, SQL with 2+ years experience.","Kubernetes, Microservices, Cloud, Docker, C++, CI/CD, SQL",2,"devops engineer role in technology requiring skills kubernetes, microservices, cloud, docker, c, cicd, sql with 2 years experience","['Kubernetes', 'Microservices', 'Cloud', 'Docker', 'C++', 'CI/CD', 'SQL']"
Supply Chain Analyst,Operations,"Supply Chain Analyst role in Operations requiring skills: Excel, Logistics, Agile, Supply Chain, Lean Six Sigma with 5+ years experience.","Excel, Logistics, Agile, Supply Chain, Lean Six Sigma",5,"supply chain analyst role in operations requiring skills excel, logistics, agile, supply chain, lean six sigma with 5 years experience","['Excel', 'Logistics', 'Agile', 'Supply Chain', 'Lean Six Sigma']"
Data Engineer,Data,"Data Engineer role in Data requiring skills: PowerBI, Spark, NLP, PyTorch, Deep Learning, Big Data with 10+ years experience.","PowerBI, Spark, NLP, PyTorch, Deep Learning, Big Data",10,"data engineer role in data requiring skills powerbi, spark, nlp, pytorch, deep learning, big data with 10 years experience","['PowerBI', 'Spark', 'NLP', 'PyTorch', 'Deep Learning', 'Big Data']"
Automation Engineer,Engineering,"Automation Engineer role in Engineering requiring skills: Robotics, MATLAB, CAD, C++, PLC Programming with 10+ years experience.","Robotics, MATLAB, CAD, C++, PLC Programming",10,"automation engineer role in engineering requiring skills robotics, matlab, cad, c, plc programming with 10 years experience","['Robotics', 'MATLAB', 'CAD', 'C++', 'PLC Programming']"
Supply Chain Analyst,Operations,"Supply Chain Analyst role in Operations requiring skills: Logistics, Excel, Project Management, Process Improvement, Lean Six Sigma with 2+ years experience.","Logistics, Excel, Project Management, Process Improvement, Lean Six Sigma",2,"supply chain analyst role in operations requiring skills logistics, excel, project management, process improvement, lean six sigma with 2 years experience","['Logistics', 'Excel', 'Project Management', 'Process Improvement', 'Lean Six Sigma']"
Supply Chain Analyst,Operations,"Supply Chain Analyst role in Operations requiring skills: Agile, Lean Six Sigma, Logistics with 2+ years experience.","Agile, Lean Six Sigma, Logistics",2,"supply chain analyst role in operations requiring skills agile, lean six sigma, logistics with 2 years experience","['Agile', 'Lean Six Sigma', 'Logistics']"
Automation Engineer,Engineering,"Automation Engineer role in Engineering requiring skills: MATLAB, CAD, SolidWorks, AutoCAD with 8+ years experience.","MATLAB, CAD, SolidWorks, AutoCAD",8,"automation engineer role in engineering requiring skills matlab, cad, solidworks, autocad with 8 years experience","['MATLAB', 'CAD', 'SolidWorks', 'AutoCAD']"
Financial Analyst,Finance,"Financial Analyst role in Finance requiring skills: Investment Modeling, Risk Management, Forecasting, Budgeting, Taxation, Financial Analysis, Excel with 8+ years experience.","Investment Modeling, Risk Management, Forecasting, Budgeting, Taxation, Financial Analysis, Excel",8,"financial analyst role in finance requiring skills investment modeling, risk management, forecasting, budgeting, taxation, financial analysis, excel with 8 years experience","['Investment Modeling', 'Risk Management', 'Forecasting', 'Budgeting', 'Taxation', 'Financial Analysis', 'Excel']"
Data Analyst,Data,"Data Analyst role in Data requiring skills: Python, Tableau, NLP, Big Data with 2+ years experience.","Python, Tableau, NLP, Big Data",2,"data analyst role in data requiring skills python, tableau, nlp, big data with 2 years experience","['Python', 'Tableau', 'NLP', 'Big Data']"
Professor,Education,"Professor role in Education requiring skills: Python, Communication, Teaching, Curriculum Design with 2+ years experience.","Python, Communication, Teaching, Curriculum Design",2,"professor role in education requiring skills python, communication, teaching, curriculum design with 2 years experience","['Python', 'Communication', 'Teaching', 'Curriculum Design']"
Account Executive,Sales,"Account Executive role in Sales requiring skills: Negotiation, Business Development, Presentation Skills, Excel, Lead Generation, CRM, Sales Strategy with 7+ years experience.","Negotiation, Business Development, Presentation Skills, Excel, Lead Generation, CRM, Sales Strategy",7,"account executive role in sales requiring skills negotiation, business development, presentation skills, excel, lead generation, crm, sales strategy with 7 years experience","['Negotiation', 'Business Development', 'Presentation Skills', 'Excel', 'Lead Generation', 'CRM', 'Sales Strategy']"
Account Executive,Sales,"Account Executive role in Sales requiring skills: Sales Strategy, Presentation Skills, Business Development, Negotiation, CRM with 10+ years experience.","Sales Strategy, Presentation Skills, Business Development, Negotiation, CRM",10,"account executive role in sales requiring skills sales strategy, presentation skills, business development, negotiation, crm with 10 years experience","['Sales Strategy', 'Presentation Skills', 'Business Development', 'Negotiation', 'CRM']"
Business Analyst,Data,"Business Analyst role in Data requiring skills: Python, R, Deep Learning, Tableau, SQL with 5+ years experience.","Python, R, Deep Learning, Tableau, SQL",5,"business analyst role in data requiring skills python, r, deep learning, tableau, sql with 5 years experience","['Python', 'R', 'Deep Learning', 'Tableau', 'SQL']"
Software Engineer,Technology,"Software Engineer role in Technology requiring skills: Microservices, Docker, Cloud, React, CI/CD, Agile with 8+ years experience.","Microservices, Docker, Cloud, React, CI/CD, Agile",8,"software engineer role in technology requiring skills microservices, docker, cloud, react, cicd, agile with 8 years experience","['Microservices', 'Docker', 'Cloud', 'React', 'CI/CD', 'Agile']"
AI Researcher,Data,"AI Researcher role in Data requiring skills: PyTorch, R, NLP with 7+ years experience.","PyTorch, R, NLP",7,"ai researcher role in data requiring skills pytorch, r, nlp with 7 years experience","['PyTorch', 'R', 'NLP']"
Sales Analyst,Sales,"Sales Analyst role in Sales requiring skills: Negotiation, Lead Generation, CRM, Business Development, Excel, Presentation Skills, Sales Strategy with 6+ years experience.","Negotiation, Lead Generation, CRM, Business Development, Excel, Presentation Skills, Sales Strategy",6,"sales analyst role in sales requiring skills negotiation, lead generation, crm, business development, excel, presentation skills, sales strategy with 6 years experience","['Negotiation', 'Lead Generation', 'CRM', 'Business Development', 'Excel', 'Presentation Skills', 'Sales Strategy']"
Professor,Education,"Professor role in Education requiring skills: Communication, Educational Technology, Research, Curriculum Design, Python, Teaching with 4+ years experience.","Communication, Educational Technology, Research, Curriculum Design, Python, Teaching",4,"professor role in education requiring skills communication, educational technology, research, curriculum design, python, teaching with 4 years experience","['Communication', 'Educational Technology', 'Research', 'Curriculum Design', 'Python', 'Teaching']"
Sales Manager,Sales,"Sales Manager role in Sales requiring skills: Business Development, Presentation Skills, Negotiation, Sales Strategy with 10+ years experience.","Business Development, Presentation Skills, Negotiation, Sales Strategy",10,"sales manager role in sales requiring skills business development, presentation skills, negotiation, sales strategy with 10 years experience","['Business Development', 'Presentation Skills', 'Negotiation', 'Sales Strategy']"
SEO Specialist,Marketing,"SEO Specialist role in Marketing requiring skills: Marketing Strategy, PPC, Content Marketing, Excel with 2+ years experience.","Marketing Strategy, PPC, Content Marketing, Excel",2,"seo specialist role in marketing requiring skills marketing strategy, ppc, content marketing, excel with 2 years experience","['Marketing Strategy', 'PPC', 'Content Marketing', 'Excel']"
Medical Data Analyst,Healthcare,"Medical Data Analyst role in Healthcare requiring skills: Research, Biostatistics, Medical Terminology, Python, Clinical Data Analysis, Patient Care with 5+ years experience.","Research, Biostatistics, Medical Terminology, Python, Clinical Data Analysis, Patient Care",5,"medical data analyst role in healthcare requiring skills research, biostatistics, medical terminology, python, clinical data analysis, patient care with 5 years experience","['Research', 'Biostatistics', 'Medical Terminology', 'Python', 'Clinical Data Analysis', 'Patient Care']"
ML Engineer,Data,"ML Engineer role in Data requiring skills: TensorFlow, NLP, PowerBI with 6+ years experience.","TensorFlow, NLP, PowerBI",6,"ml engineer role in data requiring skills tensorflow, nlp, powerbi with 6 years experience","['TensorFlow', 'NLP', 'PowerBI']"
Risk Analyst,Finance,"Risk Analyst role in Finance requiring skills: Budgeting, Investment Modeling, Taxation, Excel, SQL, Risk Management, Accounting with 8+ years experience.","Budgeting, Investment Modeling, Taxation, Excel, SQL, Risk Management, Accounting",8,"risk analyst role in finance requiring skills budgeting, investment modeling, taxation, excel, sql, risk management, accounting with 8 years experience","['Budgeting', 'Investment Modeling', 'Taxation', 'Excel', 'SQL', 'Risk Management', 'Accounting']"
Nurse,Healthcare,"Nurse role in Healthcare requiring skills: Research, Medical Terminology, Healthcare Analytics with 10+ years experience.","Research, Medical Terminology, Healthcare Analytics",10,"nurse role in healthcare requiring skills research, medical terminology, healthcare analytics with 10 years experience","['Research', 'Medical Terminology', 'Healthcare Analytics']"
Operations Manager,Operations,"Operations Manager role in Operations requiring skills: Lean Six Sigma, Excel, Logistics, Project Management with 3+ years experience.","Lean Six Sigma, Excel, Logistics, Project Management",3,"operations manager role in operations requiring skills lean six sigma, excel, logistics, project management with 3 years experience","['Lean Six Sigma', 'Excel', 'Logistics', 'Project Management']"
SEO Specialist,Marketing,"SEO Specialist role in Marketing requiring skills: Excel, Marketing Strategy, Content Marketing, Social Media, Google Analytics, Email Marketing with 5+ years experience.","Excel, Marketing Strategy, Content Marketing, Social Media, Google Analytics, Email Marketing",5,"seo specialist role in marketing requiring skills excel, marketing strategy, content marketing, social media, google analytics, email marketing with 5 years experience","['Excel', 'Marketing Strategy', 'Content Marketing', 'Social Media', 'Google Analytics', 'Email Marketing']"
SEO Specialist,Marketing,"SEO Specialist role in Marketing requiring skills: Google Analytics, PPC, SEO, Marketing Strategy, Social Media with 3+ years experience.","Google Analytics, PPC, SEO, Marketing Strategy, Social Media",3,"seo specialist role in marketing requiring skills google analytics, ppc, seo, marketing strategy, social media with 3 years experience","['Google Analytics', 'PPC', 'SEO', 'Marketing Strategy', 'Social Media']"
